train, test
0.722977, 0.69245
0.719884, 0.691929
0.717373, 0.691711
0.715323, 0.691708
0.71365, 0.691856
0.712292, 0.692139
0.711196, 0.692515
0.710314, 0.692958
0.709608, 0.693442
0.709043, 0.693947
0.70859, 0.69446
0.708229, 0.694971
0.707942, 0.695472
0.707716, 0.695959
0.707539, 0.696426
0.707401, 0.696872
0.707295, 0.697295
0.707214, 0.697693
0.707153, 0.698068
0.707109, 0.698417
0.707077, 0.698743
0.707055, 0.699046
0.707041, 0.699327
0.707032, 0.699587
0.707028, 0.699827
0.707028, 0.700047
0.707029, 0.70025
0.707033, 0.700437
0.707037, 0.700607
0.707042, 0.700764
0.707046, 0.700906
0.707051, 0.701037
0.707055, 0.701155
0.707059, 0.701263
0.707062, 0.701361
0.707065, 0.701449
0.707066, 0.701529
0.707067, 0.701602
0.707067, 0.701667
0.707065, 0.701725
0.707063, 0.701777
0.70706, 0.701824
0.707056, 0.701865
0.707051, 0.701901
0.707045, 0.701933
0.707039, 0.70196
0.707031, 0.701984
0.707022, 0.702004
0.707013, 0.702021
0.707002, 0.702034
0.70699, 0.702045
0.706978, 0.702052
0.706964, 0.702057
0.70695, 0.70206
0.706935, 0.70206
0.706918, 0.702058
0.706901, 0.702054
0.706882, 0.702048
0.706863, 0.702039
0.706842, 0.702029
0.70682, 0.702017
0.706797, 0.702003
0.706772, 0.701987
0.706747, 0.70197
0.706719, 0.70195
0.706691, 0.701929
0.706661, 0.701906
0.706629, 0.701881
0.706596, 0.701853
0.706561, 0.701824
0.706524, 0.701793
0.706485, 0.70176
0.706444, 0.701725
0.706401, 0.701687
0.706356, 0.701648
0.706308, 0.701605
0.706257, 0.70156
0.706204, 0.701512
0.706148, 0.701462
0.706089, 0.701408
0.706026, 0.701352
0.70596, 0.701292
0.70589, 0.701228
0.705816, 0.70116
0.705738, 0.701089
0.705655, 0.701013
0.705568, 0.700932
0.705475, 0.700847
0.705376, 0.700756
0.705271, 0.70066
0.70516, 0.700558
0.705042, 0.700449
0.704916, 0.700333
0.704782, 0.70021
0.70464, 0.700078
0.704488, 0.699938
0.704326, 0.699789
0.704153, 0.699629
0.703968, 0.699459
0.70377, 0.699277
0.703558, 0.699082
0.703331, 0.698873
0.703088, 0.69865
0.702827, 0.69841
0.702547, 0.698152
0.702246, 0.697875
0.701921, 0.697578
0.701572, 0.697257
0.701196, 0.696912
0.70079, 0.69654
0.700352, 0.696138
0.699878, 0.695703
0.699365, 0.695234
0.698809, 0.694726
0.698207, 0.694175
0.697554, 0.693578
0.696845, 0.692931
0.696074, 0.692228
0.695236, 0.691463
0.694324, 0.690631
0.693331, 0.689726
0.692249, 0.68874
0.691069, 0.687666
0.689783, 0.686495
0.688379, 0.685219
0.686855, 0.683841
0.685204, 0.682351
0.683408, 0.680742
0.681459, 0.678995
0.679349, 0.677116
0.677111, 0.67521
0.674712, 0.673173
0.672129, 0.67099
0.669352, 0.668655
0.666373, 0.666166
0.663186, 0.663521
0.659786, 0.660718
0.656171, 0.657758
0.65234, 0.654646
0.648296, 0.651386
0.644049, 0.648008
0.639623, 0.644694
0.635074, 0.641558
0.630653, 0.638557
0.626513, 0.635631
0.622409, 0.632807
0.618409, 0.630074
0.614486, 0.627426
0.610642, 0.624878
0.6069, 0.622455
0.603283, 0.620062
0.599829, 0.617616
0.596741, 0.615177
0.593883, 0.61279
0.591165, 0.610467
0.588623, 0.608216
0.586247, 0.606036
0.584013, 0.603929
0.581907, 0.601896
0.579919, 0.599941
0.57804, 0.598065
0.576263, 0.596272
0.574582, 0.594568
0.572992, 0.592944
0.571483, 0.5914
0.570058, 0.589926
0.568712, 0.58853
0.567442, 0.587201
0.566241, 0.585943
0.565106, 0.584754
0.564036, 0.583631
0.563025, 0.582572
0.56207, 0.581575
0.561167, 0.580635
0.560314, 0.579751
0.559505, 0.578919
0.558738, 0.578136
0.55801, 0.577398
0.557317, 0.576703
0.556656, 0.576046
0.556024, 0.575425
0.555418, 0.574837
0.554836, 0.574278
0.554275, 0.573746
0.553733, 0.573239
0.553208, 0.572752
0.552697, 0.572285
0.5522, 0.571834
0.551714, 0.571398
0.551237, 0.570976
0.55077, 0.570565
0.55031, 0.570164
0.549857, 0.569772
0.549409, 0.569387
0.548968, 0.569009
0.54853, 0.568637
0.548098, 0.568271
0.547669, 0.567909
0.547244, 0.567551
0.546823, 0.567197
0.546405, 0.566847
0.545991, 0.566501
0.54558, 0.566157
0.545173, 0.565818
0.544769, 0.565502
0.544369, 0.565191
0.543973, 0.56486
0.543581, 0.564525
0.543193, 0.564192
0.542809, 0.563849
0.54243, 0.563511
0.542055, 0.563176
0.541685, 0.562845
0.54132, 0.562518
0.54096, 0.562196
0.540605, 0.561878
0.540256, 0.561564
0.539911, 0.561255
0.539573, 0.560951
0.539239, 0.560653
0.538911, 0.560359
0.538589, 0.56007
0.538273, 0.559786
0.537962, 0.559508
0.537657, 0.559235
0.537358, 0.558968
0.537064, 0.558706
0.536776, 0.558449
0.536494, 0.558198
0.536217, 0.557952
0.535947, 0.557711
0.535681, 0.557477
0.535421, 0.557249
0.535167, 0.557026
0.534918, 0.556808
0.534674, 0.556596
0.534436, 0.556388
0.534202, 0.556186
0.533974, 0.555988
0.53375, 0.555794
0.533532, 0.555603
0.533318, 0.555418
0.533108, 0.555237
0.532903, 0.555061
0.532703, 0.554889
0.532507, 0.554722
0.532315, 0.554559
0.532127, 0.554401
0.531943, 0.554246
0.531763, 0.554095
0.531586, 0.553949
0.531414, 0.553806
0.531244, 0.553666
0.531078, 0.553531
0.530916, 0.553398
0.530756, 0.553269
0.5306, 0.553143
0.530446, 0.553021
0.530295, 0.552901
0.530148, 0.552784
0.530002, 0.55267
0.529859, 0.552559
0.529719, 0.55245
0.529581, 0.552344
0.529446, 0.55224
0.529312, 0.552139
0.529181, 0.55204
0.529051, 0.551943
0.528924, 0.551848
0.528798, 0.551755
0.528674, 0.551663
0.528552, 0.551571
0.528432, 0.551481
0.528313, 0.551392
0.528195, 0.551305
0.528079, 0.551219
0.527965, 0.551135
0.527852, 0.551052
0.52774, 0.55097
0.527629, 0.550889
0.52752, 0.55081
0.527411, 0.550733
0.527304, 0.550657
0.527198, 0.550582
0.527093, 0.550508
0.526989, 0.550435
0.526886, 0.550363
0.526784, 0.550292
0.526683, 0.550222
0.526582, 0.550153
0.526483, 0.550084
0.526385, 0.550016
0.526287, 0.549949
0.52619, 0.549883
0.526094, 0.549818
0.525999, 0.549753
0.525905, 0.549678
0.525812, 0.549603
0.525719, 0.549528
0.525627, 0.549428
0.525536, 0.549322
0.525445, 0.549219
0.525356, 0.549119
0.525267, 0.54902
0.525179, 0.548926
0.525092, 0.548842
0.525005, 0.548759
0.52492, 0.548677
0.524835, 0.548595
0.524751, 0.548515
0.524668, 0.548435
0.524585, 0.548356
0.524504, 0.548279
0.524423, 0.548202
0.524343, 0.548126
0.524264, 0.548051
0.524186, 0.547977
0.524108, 0.547905
0.524031, 0.547833
0.523956, 0.547762
0.523881, 0.547693
0.523807, 0.547625
0.523734, 0.547557
0.523661, 0.547491
0.52359, 0.547427
0.523519, 0.547363
0.52345, 0.5473
0.523381, 0.547239
0.523313, 0.547179
0.523246, 0.54712
0.52318, 0.547063
0.523115, 0.547007
0.52305, 0.546952
0.522987, 0.546898
0.522924, 0.546845
0.522863, 0.546794
0.522802, 0.546744
